# video_stem	object_prompt
20260712_163103	telephone handset
20260712_163122	coffee cup
20260712_163141	black backpack
20260712_163155	gray metal drawer
20260712_163219	silver door handle
20260712_163240	coffee cup
20260712_163258	black keyboard
20260712_163309	black keyboard
20260712_170210	toaster oven
20260712_170226	white cup
20260712_170243	silver door handle
20260712_170256	wooden drawer
20260712_170304	wooden drawer
20260712_170316	wooden cabinet door
20260712_170328	wooden cabinet door
20260712_170343	silver door handle
20260712_170358	purple marker
20260712_170408	pink marker
20260712_170426	stainless steel trash can
20260712_170453	plastic drawer
20260712_170532	paper plate
20260712_170548	coffee cup
20260712_170606	coffee cup
